這,zhè,この、その,我要買這個。,Wǒ yào mǎi zhège.,私はこれを買いたいです
圖書館,túshūguǎn,図書館,這個圖書館有百年歷史。,Zhè ge túshūguǎn yǒu bǎinián lìshǐ.,この図書館には100年の歴史があります。
難,nán,難しい、〜しにくい,中文難不難？,Zhōngwén nán bù nán?,中国語は難しいですか？
容易,róngyì,易しい、〜しやすい,中文發音不容易。,Zhōngwén fāyīn bù róngyì.,中国語の発音は簡単ではありません。
工作,gōngzuò,仕事,我今天工作很忙。,Wǒ jīntiān gōngzuò hěn máng.,今日は仕事でとても忙しいです。
公司,gōngsī,会社,他在日商公司上班。,Tā zài Rìshāng gōngsī shàngbān.,彼は日本の会社で働いています。
醫院,yīyuàn,病院,他在這家醫院工作。,Tā zài zhè jiā yīyuàn gōngzuò.,彼はこの病院で働いています。
醫生,yīshēng,医者,他是一個外科醫生。,Tā shì yí gè wàikē yīshēng.,彼は外科医です。
忙,máng,忙しい,最近忙不忙。,Zuìjìn máng bù máng.,最近忙しかったですか？
累,lèi,疲れた,他昨天工作很累。,Tā zuótiān gōngzuò hěn lèi.,彼は昨日仕事でとても疲れていました。
吃,chī,食べる,你想吃什麼？,Nǐ xiǎng chī shénme?,何を食べたいですか？
好吃,hǎochī,美味しい,芒果冰很好吃。,Mángguǒ bīng hěn hǎochī.,マンゴーアイスが美味しいです。
飯,fàn,食事,要不要一起吃中飯。,Yào bù yào yìqǐ chī zhōngfàn.,一緒にランチをしませんか？
菜,cài,野菜,你會做菜嗎？,Nǐ huì zuò cài ma?,料理はできますか？
肉,ròu,肉,他不吃肉。,Tā bù chī ròu.,彼は肉を食べません。
魚,yú,魚,你吃過虱目魚湯嗎？,Nǐ chīguò shīmùyú tāng ma?,サバヒーのスープを食べたことがありますか？
蘋果,píngguǒ,りんご,日本的富士蘋果很好吃。,Rìběn de Fùshì píngguǒ hěn hǎochī.,日本のふじりんごは美味しいです。
喝,hē,飲む,他愛喝葡萄酒。,Tā ài hē pútaojiǔ.,彼はワインを飲むのが大好きです。
酒,jiǔ,酒,我不會喝酒。,Wǒ bú huì hējiǔ.,飲み方が分かりません。
水,shuǐ,水,給我一杯水。,Gěi wǒ yì bēi shuǐ.,水を一杯ください。
咖啡,kāfēi,コーヒー,他喜歡喝黑咖啡。,Tā xǐhuān hē hēi kāfēi.,彼はブラックコーヒーを飲むのが好きです。
茶,chá,お茶,你聽過東方美人茶嗎？,Nǐ tīngguò Dōngfāng Měirén chá ma?,東方美人茶をご存知ですか？
瓶,píng,〜本（瓶に入っているものを数える）,先來一瓶啤酒。,Xiān lái yì píng píjiǔ.,まずはビールを一本ください。
杯,bēi,〜杯,我想喝一杯木瓜牛奶汁。,Wǒ xiǎng hē yì bēi mùguā niúnǎi zhī.,パパイヤミルクジュースを一杯飲みたいです。
餐廳,cāntīng,レストラン,這家印度餐廳很道地。,Zhè jiā Yìndù cāntīng hěn dàodì.,このインド料理レストランはとても本格的です。
飯館,fànguǎn,レストラン,這家北京飯館很有名。,Zhè jiā Běijīng fànguǎn hěn yǒumíng.,この北京料理店はとても有名です。
電影,diànyǐng,映画,這部電影很好看。,Zhè bù diànyǐng hěn hǎokàn.,この映画はとてもいいです。
畫,huà,絵画,我女兒喜歡畫畫。,Wǒ nǚ'ér xǐhuān huàhuà.,私の娘は絵を描くのが好きです。
音樂,yīnyuè,音楽,你喜歡聽什麼音樂？,Nǐ xǐhuān tīng shénme yīnyuè?,どのような音楽を聴くのが好きですか?
票,piào,チケット,紅毛城的門票一張多少錢？,Hóngmáochéng de ménpiào yì zhāng duōshǎo qián?,紅毛城の入場券は1枚いくらですか？
照片,zhàopiàn,写真,你這張照片很好看。,Nǐ zhè zhāng zhàopiàn hěn hǎokàn.,あなたの写真は美しいですね。
打,dǎ,球技をする、打つ、叩く,櫻木週末喜歡去但籃球。,Yīngmù zhōumò xǐhuān qù dǎ lánqiú.,桜木さんは週末にバスケットボールをするのが好きです。
玩,wán,遊ぶ,他喜歡和同學玩球。,Tā xǐhuān hé tóngxué wán qiú.,彼はクラスメートとボールで遊ぶのが好きです。
運動,yùndòng,運動する,他每天運動。,Tā měitiān yùndòng.,彼は毎日運動します。
運動,yùndòng,運動、スポーツ,你喜歡看什麼運動比賽？,Nǐ xǐhuān kàn shénme yùndòng bǐsài?,どのスポーツを見るのが好きですか?
唱歌,chànggē,歌う,阿妹唱歌很好聽。,Ā Mèi chànggē hěn hǎotīng.,妹は歌が上手です。
買,mǎi,購入,我去買一杯珍珠奶茶。,Wǒ qù mǎi yì bēi zhēnzhū nǎichá.,タピオカミルクティーを一杯買うつもりです。
賣,mài,売る,這個賣多少錢？,Zhège mài duōshǎo qián?,これはいくらで売れますか？
錢,qián,お金,比爾蓋茲很有錢。,Bǐ'ěrgàizī hěn yǒu qián.,ビル・ゲイツは金持ちだ。
元,yuán,元,我要美元換台幣。,Wǒ yào Měiyuán huàn Táibì.,米ドルを台湾ドルに両替したいのですが。
塊,kuài,〜元、〜個（塊のもの）,一碗豆花幾塊錢？,Yì wǎn dòuhuā jǐ kuài qián?,豆一杯はいくらですか?
貴,guì,高い,太貴了。,Tài guì le.,高すぎる。
便宜,piányí,安い,算便宜一點吧。,Suàn piányí yìdiǎn ba.,もう少し安く検討してください。
市場,shìchǎng,市場,這附近有市場嗎？,Zhè fùjìn yǒu shìchǎng ma?,この近くに市場はありますか?
車子,chēzi,車,他買了一輛紅色的跑車。,Tā mǎi le yí liàng hóngsè de pǎochē.,彼は赤いスポーツカーを買いました。
開車,kāichē,運転する,喝酒不開車，開車不喝酒。,"Hējiǔ bù kāichē, kāichē bù hējiǔ.",飲酒しているときは運転しないでください、運転するときも飲酒してはいけません。
公車,gōngchē,バス,這輛公車去故宮嗎？,Zhè liàng gōngchē qù Gùgōng ma?,このバスは故宮に行きますか？
地鐵,dìtiě,地下鉄,這附近有地鐵站嗎？,Zhè fùjìn yǒu dìtiě zhàn ma?,この近くに地下鉄の駅はありますか?
路,lù,道路、道筋、路線,一路平安。,Yí lù píng'ān.,安全な旅をお過ごしください。
方便,fāngbiàn,便利である,台北的捷運很方便。,Táiběi de jiéyùn hěn fāngbiàn.,台北のMRTはとても便利です。
天,tiān,空,飛機在天上飛。,Fēijī zài tiān shàng fēi.,空には飛行機が飛んでいます。
天氣,tiānqì,天気,今天天氣很好。,Jīntiān tiānqì hěn hǎo.,今日はいい天気ですね。
山,shān,山,阿里山的日出很美。,Ālǐshān de rìchū hěn měi.,阿里山の日の出は美しいです。
河,hé,川,淡水河的夕陽很浪漫。,Dànshuǐhé de xìyáng hěn làngmàn.,淡水川に沈む夕日はとてもロマンチックです。
海,hǎi,海,台灣係面環海。,Táiwān xì miàn huán hǎi.,台湾は海に囲まれています。
風,fēng,風,風輕輕的吹。,Fēng qīngqīng de chuī.,風が優しく吹きます。
花,huā,花,張奶奶很會種花。,Zhāng nǎinai hěn huì zhòng huā.,張おばあちゃんは花を植えるのがとても上手です。
狗,gǒu,犬,他養了一條狗。,Tā yǎng le yì tiáo gǒu.,彼は犬を飼っています。
樹,shù,木,榕樹在台灣很常見。,Róngshù zài Táiwān hěn chángjiàn.,ガジュマルの木は台湾ではよく見られます。
很,hěn,とても,很高興認識你。,Hěn gāoxìng rènshì nǐ.,はじめまして。
非常,fēicháng,非常に、きわめて,媽媽今天非常高興。,Māma jīntiān fēicháng gāoxìng.,お母さんは今日とても幸せです。
真,zhēn,本当に,我是真的愛你。,Wǒ shì zhēn de ài nǐ.,本当に愛しています。
太,tài,〜すぎる、たいへん,今天三十八度太熱了。,Jīntiān sānshíbā dù tài rè le.,今日の38度は暑すぎます。
好,hǎo,とても、ずいぶんと,這次的地震好大。,Zhè cì de dìzhèn hǎo dà.,今回の地震はとても大きかったです。
再,zài,再び、もう一度,請再看一次。,Qǐng zài kàn yí cì.,もう一度見てください。
每,měi,〜のたび、それぞれの,他每天早上去公園散步。,Tā měitiān zǎoshang qù gōngyuán sànbù.,彼は毎朝公園に散歩に行きます。
常常,chángcháng,よく、しょっちゅう,小林常常去吃牛肉麵。,Xiǎolín chángcháng qù chī niúròumiàn.,シャオリンはよく牛肉麺を食べに行きます。
也,yě,〜も、〜でも、〜さえも,他也是在中國工作。,Tā yě shì zài Zhōngguó gōngzuò.,彼は中国でも働いています。
都,dōu,どれも、すべて,他們都是英國人。,Tāmen dōu shì Yīngguó rén.,彼らは全員イギリス人です。
只,zhǐ,〜だけ、ただ〜,我一直有一個哥哥。,Wǒ yīzhí yǒu yí gè gēge.,私にはいつも兄がいた。
多,duō,たくさん、よく,多吃一點。,Duō chī yìdiǎn.,もっと食べてください。
一點兒,yìdiǎnr,少し,我想多看一點中文書。,Wǒ xiǎng duō kàn yìdiǎn Zhōngwén shū.,もっと中国語の本を読みたいです。
一些,yīxiē,いくつかの,我想找一些資料。,Wǒ xiǎng zhǎo yìxiē zīliào.,何か情報を見つけたいです。
一起,yìqǐ,一緒に,我們一起去。,Wǒmen yìqǐ qù.,一緒に行きましょう。
比,bǐ,〜より、〜に比べて,女兒比我高了。,Nǚ'ér bǐ wǒ gāo le.,私の娘は私より背が高いです。
和,hé,〜と〜,這台電腦和腳踏車都是台灣做的。,Zhè tái diànnǎo hé jiǎotàchē dōu shì Táiwān zuò de.,このコンピュータも自転車も台湾製です。
跟,gēn,〜と〜,我要吃水餃包跟酸辣湯。,Wǒ yào chī shuǐjiǎo bāo gēn suānlàtāng.,餃子と酸辣湯が食べたいです。
可是,kěshì,しかし,哥哥想吃大餐可是沒錢。,Gēge xiǎng chī dàcān kěshì méi qián.,私の兄はたくさん食べたいのですが、お金がありません。
還是,háishì,それとも、あいかわらず、やはり,你要咖啡還是紅茶？,Nǐ yào kāfēi háishì hóngchá?,コーヒーか紅茶が飲みたいですか？
因為,yīnwèi,なぜなら、〜なので、〜のために,因為太餓，沒辦法睡覺。,"Yīnwèi tài è, méi bànfǎ shuìjiào.",お腹が空きすぎて眠れませんでした。
所以,suǒyǐ,したがって、だから、それゆえに,他頭痛，所以沒來上課。,"Tā tóutòng, suǒyǐ méi lái shàngkè.",彼は頭が痛かったので授業に来なかった。
會,huì,〜できる、〜する可能性がある,你會煮日本菜嗎？,Nǐ huì zhǔ Rìběn cài ma?,日本食を作ることはできますか？
能,néng,〜できる、〜してもよい,這裡不能吸菸。,Zhèlǐ bùnéng xīyān.,ここは禁煙です。
可以,kěyǐ,〜できる、〜してもよい,我可以坐這裡嗎？,Wǒ kěyǐ zuò zhèlǐ ma?,ここに座ってもいいですか？
可能,kěnéng,〜かもしれない,他可能不來了。,Tā kěnéng bù lái le.,彼は来ないかもしれない。
得,de / děi,動詞や形容詞のあとにおいて補語を導く,哥哥吃飯吃得很快。,Gēge chīfàn chī de hěn kuài.,私の兄はとても早く食べます。
吧,ba,相談・要求・支持・同意,快吃吧。,Kuài chī ba.,早く食べなさい。
著,zhe / zháo / zhuó,継続・持続,小花看著我，不說一句話。,"Xiǎo Huā kànzhe wǒ, bù shuō yí jù huà.",小花は私を見つめたまま、一言も話しませんでした。
呢,ne,疑問・強調・確定,我吃雪花冰，你呢？,"Wǒ chī xuěhuābīng, nǐ ne?",私はかき氷を食べます。あなたは？
了,le,完了・実現・変化,我吃飽了。,Wǒ chī bǎo le.,もうお腹パンパン。
過,guò,〜したことがある,你去過九份嗎？,Nǐ qùguò Jiǔfèn ma?,九份に行ったことがありますか？
喂,wéi / wèi,もしもし、ちょっと、おい,喂，請問李老師在嗎？,"Wèi, qǐngwèn Lǐ lǎoshī zài ma?",こんにちは、リー先生はいらっしゃいますか？
給,gěi,〜に、〜に対して、〜に向かって、〜のために,我想買禮物給爸爸。,Wǒ xiǎng mǎi lǐwù gěi bàba.,父へのプレゼントを買いたいです。
從,cóng,〜から,我從今天開始減肥。,Wǒ cóng jīntiān kāishǐ jiǎnféi.,今日から体重を減らし始めます。
離,lí,〜から、〜まで,你家離這裡有多遠？,Nǐ jiā lí zhèlǐ yǒu duō yuǎn?,あなたの家はここからどれくらい離れていますか？
往,wǎng,〜にむかって、〜の方へ,往台東的列車即將到達。,Wǎng Táidōng de lièchē jíjiāng dàodá.,もうすぐ台東行きの電車が到着します。
